Text,Title,Publisher,Relevant,Stance
""" 123 rahvusorganisatsiooni mõistsid valitsuse poliitika ametlikult hukka "" - selline punane pealkiri ilmus esmaspäevase Vesti Dnja esiküljel, taustaks tänavalahinguks valmistunud täisvarustuses politseinikud.",Venekeelsed lehed surfavad ikka aprillisündmuste lainel,Ekspress Grupp,Yes,Neutral
""" Loodan, et minu raamat valmistab rõõmu kõigile meelelahutusliku ja detektiivižanri austajatele, "" märkis kirjanik Leonardo Padura Fuentes, kes on sündinud 1955. aastal ja tuntud kodumaal Kuubas eeskätt politsei- ja kriminaalromaanide kaudu.",Kuubalane kirjutab Trotski traagilisest elust raamatu,Õhtuleht Kirjastus,No,NA
""" Ma andsin võimuesindajatele käsu alustada koheselt uurimist, et selgitada välja asjaolud, mis tingisid häältelugemise hilinemise osades valimisjaoskondades, "" sõnas Juštšenko.",Kaheksane uudis: Ukraina riigipea andis käsu käivitada koheselt uurimine,Ekspress Grupp,No,NA
""" Meil ei läinud mehe leidmiseks peaaegu üldse aega, "" kinnitab politseinik.",Britid mõistavad kohut Eesti neiu mõrvari üle,Ekspress Grupp,No,NA
"« Elasin Malibus aastal 1978, kui siin viimati lund sadas, » meenutas California politseinik Patrick Kimball.",Californias Malibus sadas üle 20 aasta jälle lund,Õhtuleht Kirjastus,No,NA
"« Enda sõnul kukkus ta täpselt kahe rööpa vahele ja tundis vaid kerget müksu vastu pead, » märgitakse Kölni politsei avalduses.",Veduri alla jäänud mees pääses ehmatusega,Õhtuleht Kirjastus,No,NA
"« Kaebasin vahejuhtumi ajal politseile, et nad tõlgendasid minu käitumist valesti.",Lennujaama meestetualetis vahistatud USA senaator eitab homoflirti,Õhtuleht Kirjastus,No,NA
"« Ta oli üleni ahelais ja karistuseks anti talle isegi süüa niiviisi, » ütles politseiohvitser Jay Biswas.",India: isa pani poja vale abielu pärast ahelaisse,Õhtuleht Kirjastus,No,NA
"39aastaselt surnud Ameerika kõmukaunitari säilmed saabusid kirikusse mahagonkirstus, mida saatis viiest politseimootorrattast koosnev eskort.",Anna Nicole Smith sängitati lõpuks mulda,Õhtuleht Kirjastus,No,NA
Aparaadi mälukaart jäi siiski terveks ja politsei tuvastas sellel naiste tualettruumis tehtud pildid.,Tais tabati Eestist pärit fotopervert,Õhtuleht Kirjastus,No,NA
"Bonzo selle eest, kui kiidetakse, et kui hea politseiniku rolli ta "" Õnnes "" teeb, ja mina selle eest, kui mulle soovitakse head kontserti. """,Teisikud,Õhtuleht Kirjastus,No,NA
Brasiilia politsei on algatanud Amazonase osariigis keskkonnakuritegude uurimise.,Amazonase keskkonnakuritegude uurimine algatatud,muud,No,NA
"Briti politsei esitas süüdistuse Moskva ärimehele, KGB-taustaga Andrei Lugovoile, kuid Vene võimud keeldusid teda kohtumõistmiseks välja andmast.",Britid ei ole rahul Lugovoi valimisega,Õhtuleht Kirjastus,No,NA
"Delhi politsei vahistas Indias mitmeid inimesi, kes levitasid sotsiaalmeedias valeinfot.",Jaht valeinfo levitajatele Indias,muud,No,NA
Eesti välisministeerium sai vastava teabe Alicante piirkonna politseilt.,Hispaania ajakirjandus tegi Eesti kaagid pensionärideks,Ekspress Grupp,No,NA
Eestis kasvab järjekindlalt muslimite arvukus ning kaitsepolitsei on täheldanud välisriikidest pärit muslimite huvi kasvu nendega kontakti loomise vastu.,Kapo hoiatab: islamiterroristide huvi Eesti vastu aina kasvab,Ekspress Grupp,No,NA
"Eks ma olen vaadanud töö tarbeks päris palju krimisarju, raamatuid lapanud ja näinud ka politsei tõsielupilte, "" tutvustab Irma oma muusasid.",Ajudeks sobib enim hakkliha !,Õhtuleht Kirjastus,No,NA
"Esimene "" Politseiakadeemia "" mängufilm valmis kahekümne kolme aasta eest.","Mängufilmide näitamise eesotsas püsib igihaljas "" Politseiakadeemia """,Ekspress Grupp,No,NA
"Euroopa Liidu uued liikmesriigid peavad kõrvaldama oma piirivalve puudused enne Schengeni ruumiga ühinemist, hoiatas ajalehe Financial Times vahendatud salajane raport.",ELi uued liikmed peavad piirivalve puudused kõrvaldama,muud,No,NA
"Hamburgi lennujaamas käivitatud erioperatsiooni tulemusel neutraliseeriti kahtlane pakk, teatas politsei.",Kahtlane pakk Hamburgi lennujaamas,muud,No,NA
Hispaania piirivalve on Maroko ja Ceuta vahelisel piiril tugevdanud kontrolli.,Tugevdatud piirikontroll Maroko ja Ceuta vahel,muud,No,NA
"Hostelipidajad kutsusid eestlastele politsei, sest need olevat liiga häälekalt Horvaatiasse jõudmist tähistanud.",Zagrebi politsei vahistas kaks Eesti vutifänni,Ekspress Grupp,No,NA
